id,firsName,LastName,displayName,teamName
712,Jeff,Ruland,Jeff Ruland,Philadelphia 76ers
713,Ronnie,Grandison,Ronnie Grandison,Charlotte Hornets
714,Lamont,Strothers,Lamont Strothers,Portland Trail Blazers
715,Tracy,Moore,Tracy Moore,Dallas Mavericks
716,Jaren,Jackson,Jaren Jackson,Golden State Warriors
717,Ennis,Whatley,Ennis Whatley,Portland Trail Blazers
718,Brian,Howard,Brian Howard,Dallas Mavericks
719,Steve,Burtt,Steve Burtt,Phoenix Suns
720,Cedric,Hunter,Cedric Hunter,Charlotte Hornets
721,Stephen,Bardo,Stephen Bardo,San Antonio Spurs
722,Cliff,T. Robinson,Cliff T. Robinson,Los Angeles Lakers
723,Derek,Strong,Derek Strong,Washington Wizards
724,Bobby,Phills,Bobby Phills,Cleveland Cavaliers
725,Anthony,Avent,Anthony Avent,Milwaukee Bucks
726,Lee,Mayberry,Lee Mayberry,Milwaukee Bucks
727,Todd,Day,Todd Day,Milwaukee Bucks
728,Tony,Bennett,Tony Bennett,Charlotte Hornets
729,Brent,Price,Brent Price,Washington Wizards
730,Don,MacLean,Don MacLean,Washington Wizards
731,Tom,Gugliotta,Tom Gugliotta,Washington Wizards
732,Walt,Williams,Walt Williams,Sacramento Kings
733,Lloyd,Daniels,Lloyd Daniels,San Antonio Spurs
734,Vinny,Del Negro,Vinny Del Negro,San Antonio Spurs
735,Shaquille,O'Neal,Shaquille O'Neal,Orlando Magic
736,Adam,Keefe,Adam Keefe,Atlanta Hawks
737,Clar.,Weatherspoon,Clar. Weatherspoon,Philadelphia 76ers
738,Robert,Horry,Robert Horry,Houston Rockets
739,Chris,Smith,Chris Smith,Minnesota Timberwolves
740,Christian,Laettner,Christian Laettner,Minnesota Timberwolves
741,Gundars,Vetra,Gundars Vetra,Minnesota Timberwolves
742,Corey,Williams,Corey Williams,Chicago Bulls
743,Elmore,Spencer,Elmore Spencer,LA Clippers
744,Anthony,Peeler,Anthony Peeler,Los Angeles Lakers
745,Duane,Cooper,Duane Cooper,Los Angeles Lakers
746,John,Crotty,John Crotty,Utah Jazz
747,Stephen,Howard,Stephen Howard,Utah Jazz
748,Byron,Houston,Byron Houston,Golden State Warriors
749,Keith,Jennings,Keith Jennings,Golden State Warriors
750,Latrell,Sprewell,Latrell Sprewell,Golden State Warriors
751,Bryant,Stith,Bryant Stith,Denver Nuggets
752,LaPhonso,Ellis,LaPhonso Ellis,Denver Nuggets
753,Matt,Othick,Matt Othick,San Antonio Spurs
754,Sam,Mack,Sam Mack,San Antonio Spurs
755,Anthony,Pullard,Anthony Pullard,Milwaukee Bucks
756,Malik,Sealy,Malik Sealy,Indiana Pacers
757,Hubert,Davis,Hubert Davis,New York Knicks
758,Sean,Rooks,Sean Rooks,Dallas Mavericks
759,Walter,Bond,Walter Bond,Dallas Mavericks
760,Harold,Miner,Harold Miner,Miami Heat
761,Oliver,Miller,Oliver Miller,Phoenix Suns
762,Lorenzo,Williams,Lorenzo Williams,Charlotte Hornets
763,Dave,Johnson,Dave Johnson,Portland Trail Blazers
764,Reggie,Smith,Reggie Smith,Portland Trail Blazers
765,Tracy,Murray,Tracy Murray,Portland Trail Blazers
766,Robert,Werdann,Robert Werdann,Denver Nuggets
767,Alex,Stivrins,Alex Stivrins,Phoenix Suns
768,Frank,Johnson,Frank Johnson,Phoenix Suns
769,Randy,Woods,Randy Woods,LA Clippers
